FPPC,Committee_Name,Candidate,Aliases,Office,Incumbent,Accepted_expenditure_ceiling,Website,Twitter,Party_Affiliation,Occupation,Bio,Photo,VotersEdge,Internal_Notes
1384267,"Macleay for Oakland School Board, District 1, 2016",Donald Macleay,,School Board District 1,FALSE,,http://www.don4ousd.org/,@donmacleay,Green Party,Small business owner,"Don Macleay owns and runs East Bay Computer Services, a computer repair business in the Temescal district.  While running for office, Macleay is on leave from People United for a Better Life in Oakland, a youth advocacy organization where he serves as a board member. In 2010, Macleay ran for mayor in Oakland. 

Source: https://oaklandnorth.net/2012/10/29/greens-don-macleay-promotes-civilians-on-police-force-higher-minimum-wage/
",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Donald-Macleay1.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13216/candidate/130694?&county=Alameda%20County&election_authority_id=1,"Link to his blog: http://donmacleay.blogspot.com/

https://www.facebook.com/don4district1/"
1303019,Friends of Jody London for Oakland School Board 2016,Jody London,,School Board District 1,TRUE,TRUE,http://www.votejody.com/,@votejodylondon,Democrat,"School Board Director, and Sustainability Coordinator","Jody London was elected to the Oakland School Board in 2009 to represent District 1. As a parent of two students who have attended Oakland Unified, London began working with the OUSD as a parent volunteer. Before being elected to the board, she chaired the Measure B bond campaign in 2006, served on the bond oversight committee, and led her neighborhood school community in designing and building a new school. London holds a Bachelor of Arts in English, with high honors, from UC Berkeley, and a Master's degreee in Public Administration from Columbia University. 

Source: Candidate statement and www.votejody.com",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Jody-London2.jpg.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13216/candidate/130693?&county=Alameda%20County&election_authority_id=1,Photo: provided by candidate. See also Facebook Link: https://www.facebook.com/votejody/ Photo: https://scontent.xx.fbcdn.net/t31.0-8/13767143_1139333112807263_4854272366759084952_o.jpg
1386416,Re-Elect Jumoke Hinton Hodge for Oakland School Board 2016,Jumoke Hinton Hodge,,School Board District 3,TRUE,TRUE,https://hintonhodge.nationbuilder.com/,@hintonhodge4oak,,OUSD Councilmember,"Jumoke Hinton-Hodge is running for re-election as District 3 representative for the Oakland Unified School Board of Education. Hinton-Hodge is the co-founder of the Parent Leadership and Engagement Academy Initiative (PLEA), a community-building project dedicated to the education and support of West Oakland parents and families. She received a Bachelor degree in Black Studies and English from Oberlin College. 

Source: http://www.ousd.org/directorhodge",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Hinton-Hodge.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13217/candidate/130695?&county=Alameda%20County&election_authority_id=1,Photo: https://scontent.xx.fbcdn.net/v/t1.0-9/420778_445818895460629_641982568_n.jpg?oh=e377bef6ef05ecaa8ef05e09bcdae4f8&oe=58240210 Facebook Link: https://www.facebook.com/hintonhodge/home?ref=page_internal
,,Benjamin Lang,,School Board District 3,FALSE,TRUE,http://www.benlang.com/,,Democrat,Retired Teacher and Administrator,"Benjamin Lang has served as a both public school teacher and administrator for over two decades. Lang has been a resident of Oakland's District 3 for 42 years. He holds a Bachelor’s of Arts in Political Science, a Master’s of Arts in Political Theory, and a Master’s of Sciences in Educational Technologies.Lang has elected to not accept any contributions for his campaign.

Source: http://www.benlang.com/index.html",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Ben-Lang.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13217/candidate/130696?&county=Alameda%20County&election_authority_id=1,Photo: http://www.benlang.com/assets/BenLangStreet.jpg
1386929,Kharyshi Wiginton for School Board 2016,Kharyshi Wiginton,,School Board District 3,FALSE,TRUE,http://www.mskfordistrict3sb.com/,,,Youth Leadership Coordinator,"Kharyshi Wiginton is the Youth Leadership Coordinator at McClymonds Youth and Family Center has spent a decade doing education-related work in Oakland and currently holds a position at McClymonds High School. Wiginton graduated from the California Institute of Integral Studies in 2009. 

Source: https://www.facebook.com/kharyshi.wiginton, https://www.linkedin.com/in/kharyshi-wiginton-6a545b8, http://museumca.org/story/kharyshi-wiginton-youth-organizing-mcclymonds-high-school, and Candidate Statement
",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Kharyshi-Wiginton.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13217/candidate/130698?&county=Alameda%20County&election_authority_id=1,
,,Lucky Narain,,School Board District 3,FALSE,,,,,Associate Regional Public Affairs Director,"Lucky Narain is currently an Associate Regional Public Affairs Director for the United States Department of Agriculture (USDA). He is a Oakland resident and father. For almost three years, Narain taught middle school in the Dominican Republic with the Peace Corps as a volunteer in 2001. He holds a Master’s Degree in Public Policy from Carnegie Mellon University and a law degree from Fordham Law School. Narain has served as a lawyer in the U.S. Army Reserve since 2010. 

Source: https://www.linkedin.com/in/lucky-narain-1a054b16 and Candidate Statement",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Lucky-Narain.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13217/candidate/130697?&county=Alameda%20County&election_authority_id=1,Photo source: https://www.facebook.com/VoteLucky/photos 
1388133,Friends of Hassid for School Board Director 2016,Michael Hassid,,School Board District 5,FALSE,TRUE,http://www.mikehassidforschoolboard.com/,@michaelhassid,,VP of Finance and Operations at Nonprofit Organization,"Mike Hassid currently serves as Vice President of Finance and Operations at Exponent Partner Partners, a B-Corp and California Benefit Corporation providing strategic technology consulting to nonprofit organizations. Hassid also currently serves on the board of the Community School for Creative Education (CSCE) public school, where his son is a student and his daughter a future student. In the past, Hassid has served as Chief Financial Officer at both StudentsFirst, a national public education advocacy organization, and EnCorps STEM Teachers Program, a nonprofit that recruits professionals in science, technology, engineering and mathematics to become teachers in California public schools. Hassid has also served as Controller at both NewSchools Ventures Fund, a philanthropic firm that funds and supports education entrepreneurs, and at Common Sense Media, a national nonprofit focused on media literacy. Hassid has a Masters of Business Administration from the Masagung Graduate School of Management at The University of San Francisco and a Bachelor of Arts in Philosophy from University of California, Berkeley. He is a Bay Area native and currently lives in the Jingletown neighborhood of Oakland with my wife and two young children. 

Source:http://www.mikehassidforschoolboard.com/",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Michael-Hassid.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13218/candidate/130699?&county=Alameda%20County&election_authority_id=1,Photo: http://www.mikehassidforschoolboard.com/  Facebook: www.facebook.com/mikehassidforschoolboard
134896,Mike Hutchinson for School Board 2016,Michael Hutchinson,,School Board District 5,FALSE,,https://mikehutchinsonforschoolboard.wordpress.com/,,Democrat,,Mike Hutchinson has worked and volunteered in Oakland's public schools for the past twenty years and has run programs for non-profit organizations for the past nine years. Hutchinson is an Oakland resident who attended UC Berkeley.,https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Mike-Hutchinson.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13218/candidate/130700?&county=Alameda%20County&election_authority_id=1,Facebook Link: https://www.facebook.com/MikeHutchinson4SchoolBoard/ Photo:  https://mikehutchinsonforschoolboard.files.wordpress.com/2012/09/img_0404.jpg
1379121,Roseann Torres for Oakland School Board 2016,Roseann Torres,,School Board District 5,TRUE,,https://www.facebook.com/torresforschoolboard/home?ref=page_internal,@roseann_torres,Democrat,Incumbent,"Rosie Torres is running for re-election to represent District 5 for Oakland School Board. Torres was elected to represent Oakland’s District 5 schools in 2012. Torres holds a Bachelor’s Degree in Marketing from San Francisco State University and a Juris Doctorate from Albany Law School in Albany, New York.  

Source: https://www.facebook.com/torresforschoolboard/home",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Roseann-Torres.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13218/candidate/130701?&county=Alameda%20County&election_authority_id=1,Photo from: http://blog.oaklandxings.com/2015/02/debate-heating-future-five-oakland-public-schools-superintendent-walks-board-meeting/
1386749,Huber Trenado for OUSD School Board 2016,Huber Trenado,,School Board District 5,FALSE,TRUE,http://www.votetrenadoousd.com/,@hubertrenado,Democrat,Teacher,"Huber Trenado is a teacher, community leader, and Oakland native. Trenado has helped establish an Aim High program site to increase the quality of academic programs offered to students during the summer and implement common core standards in Oakland United School District classrooms. Trenado graduated from UC Berkeley. 

Source: http://www.votetrenadoousd.com/about",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Huber-Trenado.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13218/candidate/130702?&county=Alameda%20County&election_authority_id=1,Photo: https://d3n8a8pro7vhmx.cloudfront.net/hubertrenado/pages/35/attachments/original/1470326015/DSC_0541.JPG?1470326015
1387803,Re-Elect James Harris for School Board ,James Harris,,School Board District 7,TRUE,,http://harrisforeastoakland.com/about-james/,,,Board of Education President; owns and operates media company in San Francisco,"James Harris is the current Board of Education President, a business owner, parent, former teacher, and East Oakland native. Harris serves on the Aim High East Bay Leadership Council. He is a founding board member of Great Oakland Public Schools and a current board member at Youth Uprising. Harris’ career in education began at 16 as a teaching assistant at the Aim High Summer Program, which prepares children from low-income communities for success in high school and life. 

Source: http://harrisforeastoakland.com/",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/james-harris.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13219/candidate/130703?&county=Alameda%20County&election_authority_id=1,Photo: http://postnewsgroup.com/wp-content/uploads/2015/01/Harris-2.jpg
1384926,Chris Jackson for School Board 2016,Chris Jackson,,School Board District 7,FALSE,TRUE,http://www.chrisjacksonforoakland.org/,@cj4oakland,,Social Worker,"Chris Jackson is a social worker who works with the formerly incarcerated on parole or probation. He is a father of a kindergartener who is going into an OUSD school. 

Source: http://postnewsgroup.com/blog/2016/08/19/incumbents-run-four-seats-oakland-school-board/ and http://www.chrisjacksonforoakland.org/
",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/chris-jackson.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13219/candidate/130704?&county=Alameda%20County&election_authority_id=1,Facebook: https://www.facebook.com/cj4oak/info/?entry_point=page_nav_about_item&tab=page_info Photo: https://scontent.xx.fbcdn.net/v/t1.0-9/35108_417377451505_5038803_n.jpg?oh=62d894fbc86621d815e21abaf11380c7&oe=5822262A
